Name	..NM89_RPMI_salmon.quant.sf	..NM90_RPMI_HS5_salmon.quant.sf	..NM91_MM1S_salmon.quant.sf	..NM92_MM1S_HS5_salmon.quant.sf	..NM95_KMS11_salmon.quant.sf	..NM96_KMS11_HS5_salmon.quant.sf
LINC01136	218.4115	193.6976	179.3723	294.5193	24.6016	43.1572
LINC01137	475.251	713.701	112.53299999999999	176.03	13.1674	26.01
LINC01138	1222.4554	539.4019	107.21902	34.190329999999996	91.0551	77.23621999999999
LINC01140	25.422810000000002	32.2768	14.1173	44.65226	3.08947	7.615489999999999
LINC01141	75.0369	55.9016	51.10812	113.73700000000001	71.7583	78.7372
LINC01143	8.17258	2.09858	1.0875	1.0120200000000001	4.01	6.01
LINC01144	123.16799999999999	92.0425	21.428	20.8711	6.01	6.01
LINC01146	11.0317	7.126710000000001	6.3352	10.04753	5.96615	4.19086
LINC01149	17.1919	14.5888	14.7112	22.9974	2.01704	5.44506
LINC01152	6.08919	16.7351	11.1185	3.01389	2.0142	1.01514
LINC01160	113.0402	116.3456	43.8571	16.53357	34.59403	43.47183
LINC01170	22.0635	3.26678	14.2304	12.1936	2.27662	4.08061
LINC01176	79.02003	217.8961	15.01	15.01	9.01	14.3133
LINC01180	20.169	20.7745	4.44439	57.0135	3.01887	4.243609999999999
LINC01182	29.8651	43.5959	8.505	33.5231	5.62756	12.1901
LINC01183	55.7184	44.8438	15.25733	2.01	8.71241	9.35602
LINC01184	4059.2462200000004	2879.70676	1234.66993	2119.2431899999997	584.55035	623.73359
LINC01192	29.38878	38.1848	11.6723	32.6451	3.3830699999999996	2.69504
LINC01197	25.2762	34.1113	5.99929	10.26608	4.13693	1.01027
LINC01198	3.5366400000000002	28.4633	81.17835	107.92913999999999	6.596	6.477069999999999
LINC01205	92.3442	97.3753	95.3424	128.1921	32.095079999999996	27.742009999999997
LINC01206	20.5624	61.21239	44.80311	147.75249	7.36178	2.05768
LINC01207	34.969	38.9761	11.3272	29.7658	7.96369	2.1994700000000003
LINC01209	4.49979	7.19843	2.1343900000000002	4.43928	2.16078	1.1131
LINC01212	74.3038	46.0092	15.099	27.5799	4.10778	1.1351799999999999
LINC01215	1331.25	2393.61	106.57700000000001	138.959	151.08	119.973
LINC01224	129.4883	124.2044	42.6792	42.4213	1.52004	2.01552
LINC01226	244.487	137.356	44.693000000000005	28.1189	4.55514	14.9403
LINC01229	11535.548659999999	4888.2566799999995	3.01	9.01	102.80189	92.68516
LINC01232	902.0627400000001	720.6438	400.7863	566.00732	95.28708	141.1365
LINC01234	299.834	311.5514	34.403859999999995	31.87854	8.8979	8.19265
LINC01235	10.6275	7.73574	13.7629	9.34635	5.66689	1.31413
LINC01237	89.15859	76.42288	46.305609999999994	32.586890000000004	8.97932	5.27234
LINC01239	689.9839999999999	476.545	63.6263	102.809	38.4412	28.761
LINC01242	11.01	4.01039	4.37753	14.01	2.01	1.01
LINC01247	21.5179	20.1986	24.1371	11.7562	4.29368	3.10245
LINC01249	16.28145	24.76417	3.3293199999999996	10.000860000000001	2.1159	9.86782
LINC01252	38.2132	32.5415	58.7106	65.3506	7.21563	14.3836
LINC01254	17.1848	14.3767	11.7876	18.2954	3.05202	4.42745
LINC01257	33.2595	24.6972	11.3097	13.0437	4.01	11.4317
LINC01260	95.4609	92.3506	82.0064	128.6482	38.02	35.01
LINC01267	83.51799999999999	55.3955	6.87294	26.01	1.13386	4.45092
LINC01268	210.61900000000003	195.175	28.5725	54.6334	5.53972	12.9861
LINC01270	27.01	30.4361	10.1139	17.159129999999998	3.02046	10.02
LINC01272	26.9943	108.4802	4.0315199999999995	15.0936	1.1300299999999999	1.01084
LINC01273	12.8059	16.7193	6.1033599999999995	14.48006	7.09685	10.1841
LINC01278	293.48461000000003	459.14962	715.0554	881.0502	457.78895	454.7131
LINC01285	154.0032	110.3358	9.4393	14.32194	5.297280000000001	9.746410000000001
